Gene1,Gene2,Error
LEO1,WDR61,0.0057103634
BNIP1,LEO1,0.018592536
BNIP1,WDR61,0.020135522
CDC27,WDR61,0.026152194
FDPS,UBA2,0.035779238
GTF2H4,LEO1,0.0423311
LEO1,PDRG1,0.047145963
ARL2,KIAA1731,0.056830585
CHMP2A,LEO1,0.059541225
HUS1,UBA2,0.07678151
CDK1,LEO1,0.086316645
LEO1,NAMPT,0.099069774
CTNNBL1,GEMIN4,0.108308256
EIF6,HUS1,0.11881161
TRA2B,XRN2,0.12561405
MED14,MINOS1,0.12673843
CENPW,SKA3,0.13034189
BNIP1,MED23,0.13895792
EIF3H,EXOSC2,0.14917755
CDC27,CENPW,0.15795732
ARL2,RPL11,0.16109937
COPS4,SMC5,0.16372329
CTNNBL1,SDHC,0.17066836
MRPL13,MRPS35,0.18408185
CDK12,EXOSC2,0.18859464
COPS4,NUDC,0.19556361
EIF6,GNL3L,0.21408695
RPS18,ZNRD1,0.21596651
EIF6,Ltn1,0.2204541
ANKZF1,MRPL43,0.22242256
TCF25,TUBGCP5,0.23385213
CDC40,SSBP1,0.23392367
GEMIN4,GTF2H4,0.24288082
RFC4,RPL28,0.24523231
MRPS21,SEH1L,0.24749291
DHODH,HUS1,0.249062
BUB3,RAD51,0.2511115
MRPS35,NSMCE1,0.25522074
NUP54,PTCD3,0.25530457
MRPL32,NUP85,0.25720719
MARS2,MFAP1,0.25816098
MED24,MINOS1,0.2596131
MRPS30,NACA,0.2665335
DDX46,FIP1L1,0.26917273
FAM50A,NIP7,0.2717554
ATP1A1,CDK1,0.2756216
ASNA1,NIP7,0.27618033
BUB3,SPAG7,0.27659118
PRIM2,UBA2,0.27809662
EIF3H,EXOSC6,0.28477243
NOLC1,TIMM22,0.28593588
CDK1,MINOS1,0.286134
MED1,MED9,0.28707337
SPDL1,TRA2B,0.2972508
NUBP1,PPAT,0.29880372
MBTPS2,TOMM22,0.30069703
MCM3,PITRM1,0.30296788
DUT,RPS28,0.30443314
AATF,PPCS,0.30855322
DICER1,RFC4,0.3122826
INTS3,PSMB7,0.3153583
PRIM2,YTHDC1,0.31871808
NOLC1,ZNF598,0.3200402
EIF4A1,RPL10,0.32434052
PPIE,PTCD3,0.32477814
CHMP2A,RPL28,0.3249134
AARS2,PET112,0.32871124
ASCC3,NAT10,0.32893747
MRPL32,TAF1,0.3369326
CWC22,MZT1,0.33817777
FAM50A,FBXO28,0.33917665
LIAS,PSMD4,0.34400684
ELP4,GNPAT,0.3473475
CCNK,MED28,0.34803447
RPS27A,SMC5,0.35295033
MED1,NUBP1,0.3539877
FAM208A,MCM4,0.3554787
DNTTIP2,PPP2R1A,0.36086383
RBBP8,UBA2,0.36224335
PSMD4,SNAPC1,0.38001317
GNPAT,RPL35,0.38129485
MED23,MTBP,0.3858466
POLE,SDHC,0.39756772
DDX18,DHODH,0.40028974
MRPL27,PITRM1,0.40331924
MED23,MINOS1-NBL1,0.42530054
CDK12,CHMP2A,0.4366935
KDM1A,NDUFA9,0.4460706
METAP2,RPL36A,0.45243728
C14orf2,TRNAU1AP,0.47507972
ARIH1,RPL10,0.50251067
ARIH1,TIPIN,0.5161128
EIF3H,EIF4G2,0.5175414
CENPM,PET112,0.5181961
FAM50A,RPL30,0.5462077
MED1,MED24,0.57499915
MED1,PSMD4,0.57933044
GEMIN4,SNRPD3,0.60082436
CCNK,CHMP2A,0.60456604
PSMD4,SSBP1,0.6103568
CWC22,FAM50A,0.6260932
MED24,MRPL24,0.6281228
GFER,MRPL33,0.6422125
CCDC84,RBM17,0.6477461
RPL10,XRN2,0.6514816
MRPL42,PGK1,0.66174656
CEP192,SEH1L,0.66573703
MED24,MRPL36,0.6722423
COPS4,EIF2B5,0.6753495
MED24,SEH1L,0.67880785
NCAPD2,USE1,0.6871951
ACTR10,EIF4G1,0.6979599
GTPBP4,RPP30,0.71335155
ASCC3,RPLP1,0.7212798
ACTR10,TCOF1,0.7240879
AURKA,SNRPB,0.7373576
MINOS1,TUBGCP3,0.7531591
GTF3C3,Ltn1,0.759301
CENPM,CEP192,0.7764315
DUT,GEMIN2,0.786073
MRPS9,WDR61,0.8818911
CENPK,XRN2,0.90243685
