Gene1,Gene2,Count,AvgError
LEO1,WDR61,9,0.034646385
FDPS,UBA2,9,0.067337652
BNIP1,WDR61,9,0.071847572
CDC27,WDR61,9,0.075252772
BNIP1,LEO1,9,0.081311134
GTF2H4,LEO1,9,0.088166827
MRPL13,MRPS35,9,0.088625459
MRPS21,SEH1L,9,0.089788081
TCF25,TUBGCP5,9,0.093548024
BUB3,RAD51,9,0.09391547
LEO1,PDRG1,9,0.094259997
AATF,PPCS,9,0.099988427
ELP4,GNPAT,9,0.101107075
NUP54,PTCD3,9,0.112240597
NOLC1,TIMM22,9,0.119555132
HUS1,UBA2,9,0.119563513
ARL2,KIAA1731,9,0.119876815
MRPL32,NUP85,9,0.127501609
RFC4,RPL28,9,0.132842646
CDK1,LEO1,9,0.13872277
ANKZF1,MRPL43,9,0.141227451
BUB3,SPAG7,9,0.143998257
MRPS30,NACA,9,0.145433274
CHMP2A,RPL28,9,0.147534057
CTNNBL1,GEMIN4,9,0.147829891
